              x              y            psi
         0.7375           0.05    -0.00036161
           0.75           0.05    -0.00032098
         0.7625           0.05    -0.00028129
          0.775           0.05    -0.00024294
         0.7875           0.05    -0.00020627
            0.8           0.05    -0.00017164
         0.8125           0.05    -0.00013937
          0.825           0.05    -0.00010975
         0.8375           0.05    -8.3039e-05
           0.85           0.05    -5.9441e-05
         0.8625           0.05    -3.9125e-05
          0.875           0.05    -2.2199e-05
         0.8875           0.05    -8.7098e-06
            0.9           0.05     1.3725e-06
         0.9125           0.05     8.1619e-06
          0.925           0.05     1.1874e-05
         0.9375           0.05     1.2843e-05
           0.95           0.05     1.1549e-05
         0.9625           0.05     8.6442e-06
          0.975           0.05     4.9824e-06
         0.9875           0.05     1.6525e-06
              1           0.05              0

              0         0.0625              0
         0.0125         0.0625     8.6819e-07
          0.025         0.0625     7.8673e-07
         0.0375         0.0625    -2.0468e-06
           0.05         0.0625    -8.7772e-06
         0.0625         0.0625    -2.0062e-05
          0.075         0.0625    -3.6201e-05
         0.0875         0.0625     -5.724e-05
            0.1         0.0625    -8.3041e-05
         0.1125         0.0625    -0.00011335
          0.125         0.0625    -0.00014782
         0.1375         0.0625    -0.00018608
           0.15         0.0625     -0.0002277
         0.1625         0.0625    -0.00027228
          0.175         0.0625     -0.0003194
         0.1875         0.0625    -0.00036864
            0.2         0.0625    -0.00041962
         0.2125         0.0625    -0.00047196
          0.225         0.0625    -0.00052528
         0.2375         0.0625    -0.00057926
           0.25         0.0625    -0.00063355
         0.2625         0.0625    -0.00068785
          0.275         0.0625    -0.00074183
         0.2875         0.0625     -0.0007952
            0.3         0.0625    -0.00084768
         0.3125         0.0625    -0.00089897
          0.325         0.0625    -0.00094879
         0.3375         0.0625    -0.00099686
           0.35         0.0625     -0.0010429
         0.3625         0.0625     -0.0010866
          0.375         0.0625     -0.0011278
         0.3875         0.0625     -0.0011661
            0.4         0.0625     -0.0012012
         0.4125         0.0625      -0.001233
          0.425         0.0625     -0.0012611
         0.4375         0.0625     -0.0012854
           0.45         0.0625     -0.0013056
         0.4625         0.0625     -0.0013214
          0.475         0.0625     -0.0013328
         0.4875         0.0625     -0.0013394
            0.5         0.0625     -0.0013413
         0.5125         0.0625     -0.0013383
          0.525         0.0625     -0.0013302
         0.5375         0.0625     -0.0013171
           0.55         0.0625      -0.001299
         0.5625         0.0625      -0.001276
          0.575         0.0625      -0.001248
         0.5875         0.0625     -0.0012153
            0.6         0.0625     -0.0011781
         0.6125         0.0625     -0.0011365
          0.625         0.0625     -0.0010909
         0.6375         0.0625     -0.0010416
           0.65         0.0625    -0.00098898
         0.6625         0.0625    -0.00093343
          0.675         0.0625    -0.00087543
         0.6875         0.0625    -0.00081545
            0.7         0.0625    -0.00075403
         0.7125         0.0625     -0.0006917
          0.725         0.0625    -0.00062903
         0.7375         0.0625    -0.00056659
           0.75         0.0625    -0.00050496
         0.7625         0.0625    -0.00044471
          0.775         0.0625     -0.0003864
         0.7875         0.0625    -0.00033058
            0.8         0.0625    -0.00027776
         0.8125         0.0625     -0.0002284
          0.825         0.0625    -0.00018296
         0.8375         0.0625     -0.0001418
           0.85         0.0625    -0.00010524
         0.8625         0.0625    -7.3529e-05
          0.875         0.0625     -4.682e-05
         0.8875         0.0625    -2.5181e-05
            0.9         0.0625    -8.5711e-06
         0.9125         0.0625     3.1742e-06
          0.925         0.0625     1.0363e-05
         0.9375         0.0625     1.3471e-05
           0.95         0.0625     1.3165e-05
         0.9625         0.0625     1.0342e-05
          0.975         0.0625     6.1661e-06
         0.9875         0.0625     2.1082e-06
              1         0.0625              0

              0          0.075              0
         0.0125          0.075     4.1385e-07
          0.025          0.075     -1.352e-06
         0.0375          0.075    -7.3465e-06
           0.05          0.075    -1.8884e-05
         0.0625          0.075    -3.6719e-05
          0.075          0.075     -6.119e-05
         0.0875          0.075    -9.2324e-05
            0.1          0.075    -0.00012993
         0.1125          0.075    -0.00017366
          0.125          0.075    -0.00022306
         0.1375          0.075    -0.00027761
           0.15          0.075    -0.00033678
         0.1625          0.075    -0.00039998
          0.175          0.075    -0.00046666
         0.1875          0.075    -0.00053626
            0.2          0.075    -0.00060823
         0.2125          0.075    -0.00068206
          0.225          0.075    -0.00075725
         0.2375          0.075    -0.00083331
           0.25          0.075    -0.00090978
         0.2625          0.075    -0.00098622
          0.275          0.075     -0.0010622
         0.2875          0.075     -0.0011373
            0.3          0.075     -0.0012111
         0.3125          0.075     -0.0012832
          0.325          0.075     -0.0013531
         0.3375          0.075     -0.0014206
           0.35          0.075     -0.0014852
         0.3625          0.075     -0.0015466
          0.375          0.075     -0.0016042
         0.3875          0.075     -0.0016579
            0.4          0.075     -0.0017071
         0.4125          0.075     -0.0017515
          0.425          0.075     -0.0017908
         0.4375          0.075     -0.0018247
           0.45          0.075     -0.0018528
         0.4625          0.075     -0.0018748
          0.475          0.075     -0.0018905
         0.4875          0.075     -0.0018997
            0.5          0.075     -0.0019021
         0.5125          0.075     -0.0018976
          0.525          0.075     -0.0018862
         0.5375          0.075     -0.0018678
           0.55          0.075     -0.0018424
         0.5625          0.075       -0.00181
          0.575          0.075     -0.0017708
         0.5875          0.075     -0.0017251
            0.6          0.075      -0.001673
         0.6125          0.075     -0.0016148
          0.625          0.075     -0.0015511
         0.6375          0.075     -0.0014822
           0.65          0.075     -0.0014086
         0.6625          0.075      -0.001331
          0.675          0.075       -0.00125
         0.6875          0.075     -0.0011662
            0.7          0.075     -0.0010803
         0.7125          0.075    -0.00099313
          0.725          0.075    -0.00090545
         0.7375          0.075    -0.00081802
           0.75          0.075    -0.00073166
         0.7625          0.075    -0.00064714
          0.775          0.075    -0.00056525
         0.7875          0.075    -0.00048671
            0.8          0.075    -0.00041225
         0.8125          0.075    -0.00034252
          0.825          0.075    -0.00027811
         0.8375          0.075    -0.00021954
           0.85          0.075    -0.00016725
         0.8625          0.075    -0.00012157
          0.875          0.075    -8.2726e-05
         0.8875          0.075    -5.0811e-05
            0.9          0.075    -2.5773e-05
         0.9125          0.075    -7.3971e-06
          0.925          0.075     4.7187e-06
         0.9375          0.075     1.1191e-05
           0.95          0.075     1.2882e-05
         0.9625          0.075     1.0939e-05
          0.975          0.075     6.8336e-06
         0.9875          0.075     2.4201e-06
              1          0.075              0

              0         0.0875              0
         0.0125         0.0875    -3.5048e-07
          0.025         0.0875    -4.5948e-06
         0.0375         0.0875    -1.4931e-05
           0.05         0.0875     -3.277e-05
         0.0625         0.0875    -5.8917e-05
          0.075         0.0875    -9.3707e-05
         0.0875         0.0875    -0.00013713
            0.1         0.0875     -0.0001889
         0.1125         0.0875    -0.00024857
          0.125         0.0875    -0.00031557
         0.1375         0.0875    -0.00038923
           0.15         0.0875    -0.00046884
         0.1625         0.0875    -0.00055369
          0.175         0.0875    -0.00064303
         0.1875         0.0875    -0.00073615
            0.2         0.0875    -0.00083235
         0.2125         0.0875    -0.00093095
          0.225         0.0875     -0.0010313
         0.2375         0.0875     -0.0011327
           0.25         0.0875     -0.0012347
         0.2625         0.0875     -0.0013366
          0.275         0.0875     -0.0014377
         0.2875         0.0875     -0.0015377
            0.3         0.0875     -0.0016359
         0.3125         0.0875     -0.0017318
          0.325         0.0875     -0.0018249
         0.3375         0.0875     -0.0019146
           0.35         0.0875     -0.0020004
         0.3625         0.0875     -0.0020818
          0.375         0.0875     -0.0021583
         0.3875         0.0875     -0.0022295
            0.4         0.0875     -0.0022947
         0.4125         0.0875     -0.0023535
          0.425         0.0875     -0.0024055
         0.4375         0.0875     -0.0024503
           0.45         0.0875     -0.0024874
         0.4625         0.0875     -0.0025164
          0.475         0.0875     -0.0025371
         0.4875         0.0875      -0.002549
            0.5         0.0875     -0.0025521
         0.5125         0.0875     -0.0025461
          0.525         0.0875     -0.0025308
         0.5375         0.0875     -0.0025063
           0.55         0.0875     -0.0024725
         0.5625         0.0875     -0.0024296
          0.575         0.0875     -0.0023777
         0.5875         0.0875     -0.0023171
            0.6         0.0875     -0.0022481
         0.6125         0.0875     -0.0021712
          0.625         0.0875     -0.0020869
         0.6375         0.0875     -0.0019957
           0.65         0.0875     -0.0018984
         0.6625         0.0875     -0.0017957
          0.675         0.0875     -0.0016885
         0.6875         0.0875     -0.0015776
            0.7         0.0875     -0.0014639
         0.7125         0.0875     -0.0013484
          0.725         0.0875     -0.0012322
         0.7375         0.0875     -0.0011163
           0.75         0.0875     -0.0010016
         0.7625         0.0875    -0.00088932
          0.775         0.0875    -0.00078034
         0.7875         0.0875    -0.00067568
            0.8         0.0875    -0.00057624
         0.8125         0.0875     -0.0004829
          0.825         0.0875    -0.00039642
         0.8375         0.0875     -0.0003175
           0.85         0.0875    -0.00024669
         0.8625         0.0875    -0.00018444
          0.875         0.0875    -0.00013104
         0.8875         0.0875    -8.6633e-05
            0.9         0.0875    -5.1153e-05
         0.9125         0.0875    -2.4344e-05
          0.925         0.0875    -5.7118e-06
         0.9375         0.0875     5.4993e-06
           0.95         0.0875     1.0342e-05
         0.9625         0.0875     1.0209e-05
          0.975         0.0875     6.8737e-06
         0.9875         0.0875     2.5579e-06
              1         0.0875              0

              0            0.1              0
         0.0125            0.1    -1.4259e-06
          0.025            0.1    -8.9603e-06
         0.0375            0.1    -2.4852e-05
           0.05            0.1    -5.0538e-05
         0.0625            0.1    -8.6811e-05
          0.075            0.1    -0.00013396
         0.0875            0.1     -0.0001919
            0.1            0.1    -0.00026024
         0.1125            0.1    -0.00033841
          0.125            0.1    -0.00042567
         0.1375            0.1    -0.00052121
           0.15            0.1    -0.00062416
         0.1625            0.1     -0.0007336
          0.175            0.1    -0.00084864
         0.1875            0.1    -0.00096837
            0.2            0.1     -0.0010919
         0.2125            0.1     -0.0012184
          0.225            0.1     -0.0013471
         0.2375            0.1     -0.0014771
           0.25            0.1     -0.0016077
         0.2625            0.1     -0.0017381
          0.275            0.1     -0.0018676
         0.2875            0.1     -0.0019955
            0.3            0.1      -0.002121
         0.3125            0.1     -0.0022436
          0.325            0.1     -0.0023625
         0.3375            0.1     -0.0024771
           0.35            0.1     -0.0025866
         0.3625            0.1     -0.0026905
          0.375            0.1     -0.0027881
         0.3875            0.1     -0.0028787
            0.4            0.1     -0.0029618
         0.4125            0.1     -0.0030367
          0.425            0.1     -0.0031029
         0.4375            0.1     -0.0031598
           0.45            0.1      -0.003207
         0.4625            0.1     -0.0032438
          0.475            0.1       -0.00327
         0.4875            0.1     -0.0032851
            0.5            0.1     -0.0032889
         0.5125            0.1     -0.0032811
          0.525            0.1     -0.0032616
         0.5375            0.1     -0.0032304
           0.55            0.1     -0.0031874
         0.5625            0.1     -0.0031327
          0.575            0.1     -0.0030667
         0.5875            0.1     -0.0029896
            0.6            0.1      -0.002902
         0.6125            0.1     -0.0028042
          0.625            0.1      -0.002697
         0.6375            0.1     -0.0025812
           0.65            0.1     -0.0024575
         0.6625            0.1      -0.002327
          0.675            0.1     -0.0021906
         0.6875            0.1     -0.0020495
            0.7            0.1     -0.0019048
         0.7125            0.1     -0.0017578
          0.725            0.1     -0.0016097
         0.7375            0.1     -0.0014618
           0.75            0.1     -0.0013155
         0.7625            0.1      -0.001172
          0.775            0.1     -0.0010325
         0.7875            0.1    -0.00089838
            0.8            0.1    -0.00077069
         0.8125            0.1    -0.00065055
          0.825            0.1    -0.00053893
         0.8375            0.1    -0.00043669
           0.85            0.1    -0.00034455
         0.8625            0.1    -0.00026308
          0.875            0.1    -0.00019264
         0.8875            0.1    -0.00013343
            0.9            0.1      -8.54e-05
         0.9125            0.1    -4.8245e-05
          0.925            0.1    -2.1393e-05
         0.9375            0.1    -3.9555e-06
           0.95            0.1     5.3027e-06
         0.9625            0.1     8.0065e-06
          0.975            0.1       6.22e-06
         0.9875            0.1     2.5059e-06
              1            0.1              0

              0         0.1125              0
         0.0125         0.1125    -2.8082e-06
          0.025         0.1125    -1.4445e-05
         0.0375         0.1125     -3.712e-05
           0.05         0.1125    -7.2216e-05
         0.0625         0.1125    -0.00012045
          0.075         0.1125    -0.00018203
         0.0875         0.1125    -0.00025675
            0.1         0.1125    -0.00034408
         0.1125         0.1125    -0.00044329
          0.125         0.1125    -0.00055349
         0.1375         0.1125    -0.00067368
           0.15         0.1125    -0.00080279
         0.1625         0.1125    -0.00093975
          0.175         0.1125     -0.0010834
         0.1875         0.1125     -0.0012328
            0.2         0.1125     -0.0013867
         0.2125         0.1125     -0.0015442
          0.225         0.1125     -0.0017043
         0.2375         0.1125     -0.0018659
           0.25         0.1125     -0.0020281
         0.2625         0.1125     -0.0021901
          0.275         0.1125     -0.0023508
         0.2875         0.1125     -0.0025095
            0.3         0.1125     -0.0026652
         0.3125         0.1125     -0.0028172
          0.325         0.1125     -0.0029646
         0.3375         0.1125     -0.0031065
           0.35         0.1125     -0.0032422
         0.3625         0.1125     -0.0033708
          0.375         0.1125     -0.0034916
         0.3875         0.1125     -0.0036037
            0.4         0.1125     -0.0037065
         0.4125         0.1125     -0.0037991
          0.425         0.1125     -0.0038809
         0.4375         0.1125     -0.0039512
           0.45         0.1125     -0.0040094
         0.4625         0.1125     -0.0040549
          0.475         0.1125     -0.0040872
         0.4875         0.1125     -0.0041058
            0.5         0.1125     -0.0041105
         0.5125         0.1125     -0.0041009
          0.525         0.1125     -0.0040768
         0.5375         0.1125     -0.0040383
           0.55         0.1125     -0.0039852
         0.5625         0.1125     -0.0039179
          0.575         0.1125     -0.0038365
         0.5875         0.1125     -0.0037415
            0.6         0.1125     -0.0036334
         0.6125         0.1125     -0.0035129
          0.625         0.1125     -0.0033808
         0.6375         0.1125      -0.003238
           0.65         0.1125     -0.0030855
         0.6625         0.1125     -0.0029244
          0.675         0.1125     -0.0027561
         0.6875         0.1125     -0.0025819
            0.7         0.1125     -0.0024032
         0.7125         0.1125     -0.0022215
          0.725         0.1125     -0.0020383
         0.7375         0.1125     -0.0018553
           0.75         0.1125     -0.0016739
         0.7625         0.1125     -0.0014959
          0.775         0.1125     -0.0013226
         0.7875         0.1125     -0.0011557
            0.8         0.1125    -0.00099652
         0.8125         0.1125    -0.00084639
          0.825         0.1125    -0.00070653
         0.8375         0.1125    -0.00057799
           0.85         0.1125    -0.00046167
         0.8625         0.1125    -0.00035825
          0.875         0.1125    -0.00026822
         0.8875         0.1125    -0.00019182
            0.9         0.1125    -0.00012903
         0.9125         0.1125    -7.9527e-05
          0.925         0.1125    -4.2656e-05
         0.9375         0.1125    -1.7414e-05
           0.95         0.1125    -2.3948e-06
         0.9625         0.1125     4.2443e-06
          0.975         0.1125     4.8355e-06
         0.9875         0.1125     2.2566e-06
              1         0.1125              0

              0          0.125              0
         0.0125          0.125    -4.4908e-06
          0.025          0.125    -2.1035e-05
         0.0375          0.125    -5.1712e-05
           0.05          0.125    -9.7783e-05
         0.0625          0.125    -0.00015983
          0.075          0.125    -0.00023792
         0.0875          0.125    -0.00033168
            0.1          0.125    -0.00044041
         0.1125          0.125    -0.00056322
          0.125          0.125    -0.00069901
         0.1375          0.125    -0.00084658
           0.15          0.125     -0.0010047
         0.1625          0.125      -0.001172
          0.175          0.125     -0.0013473
         0.1875          0.125     -0.0015292
            0.2          0.125     -0.0017165
         0.2125          0.125     -0.0019079
          0.225          0.125     -0.0021023
         0.2375          0.125     -0.0022985
           0.25          0.125     -0.0024953
         0.2625          0.125     -0.0026917
          0.275          0.125     -0.0028865
         0.2875          0.125     -0.0030788
            0.3          0.125     -0.0032674
         0.3125          0.125     -0.0034514
          0.325          0.125     -0.0036298
         0.3375          0.125     -0.0038016
           0.35          0.125     -0.0039657
         0.3625          0.125     -0.0041212
          0.375          0.125     -0.0042672
