              x              y              w
        0.98125          0.025     -0.0045677
         0.9875          0.025      -0.005427
        0.99375          0.025      -0.006151
              1          0.025     -0.0065844

              0        0.03125      -0.010032
        0.00625        0.03125     -0.0052898
         0.0125        0.03125    -0.00092026
        0.01875        0.03125      0.0031719
          0.025        0.03125      0.0070723
        0.03125        0.03125       0.010868
         0.0375        0.03125       0.014646
        0.04375        0.03125       0.018492
           0.05        0.03125       0.022483
        0.05625        0.03125        0.02669
         0.0625        0.03125       0.031171
        0.06875        0.03125       0.035974
          0.075        0.03125       0.041139
        0.08125        0.03125       0.046694
         0.0875        0.03125       0.052662
        0.09375        0.03125       0.059055
            0.1        0.03125       0.065881
        0.10625        0.03125       0.073142
         0.1125        0.03125       0.080837
        0.11875        0.03125       0.088958
          0.125        0.03125       0.097495
        0.13125        0.03125        0.10644
         0.1375        0.03125        0.11577
        0.14375        0.03125        0.12548
           0.15        0.03125        0.13554
        0.15625        0.03125        0.14593
         0.1625        0.03125        0.15665
        0.16875        0.03125        0.16766
          0.175        0.03125        0.17894
        0.18125        0.03125        0.19048
         0.1875        0.03125        0.20225
        0.19375        0.03125        0.21423
            0.2        0.03125         0.2264
        0.20625        0.03125        0.23873
         0.2125        0.03125        0.25121
        0.21875        0.03125        0.26382
          0.225        0.03125        0.27652
        0.23125        0.03125        0.28931
         0.2375        0.03125        0.30215
        0.24375        0.03125        0.31504
           0.25        0.03125        0.32794
        0.25625        0.03125        0.34085
         0.2625        0.03125        0.35373
        0.26875        0.03125        0.36657
          0.275        0.03125        0.37936
        0.28125        0.03125        0.39207
         0.2875        0.03125        0.40468
        0.29375        0.03125        0.41717
            0.3        0.03125        0.42953
        0.30625        0.03125        0.44174
         0.3125        0.03125        0.45378
        0.31875        0.03125        0.46563
          0.325        0.03125        0.47728
        0.33125        0.03125         0.4887
         0.3375        0.03125        0.49989
        0.34375        0.03125        0.51081
           0.35        0.03125        0.52146
        0.35625        0.03125        0.53183
         0.3625        0.03125        0.54188
        0.36875        0.03125        0.55161
          0.375        0.03125        0.56101
        0.38125        0.03125        0.57004
         0.3875        0.03125        0.57871
        0.39375        0.03125        0.58699
            0.4        0.03125        0.59488
        0.40625        0.03125        0.60234
         0.4125        0.03125        0.60938
        0.41875        0.03125        0.61598
          0.425        0.03125        0.62212
        0.43125        0.03125        0.62779
         0.4375        0.03125        0.63298
        0.44375        0.03125        0.63768
           0.45        0.03125        0.64188
        0.45625        0.03125        0.64556
         0.4625        0.03125        0.64872
        0.46875        0.03125        0.65135
          0.475        0.03125        0.65344
        0.48125        0.03125        0.65498
         0.4875        0.03125        0.65597
        0.49375        0.03125        0.65639
            0.5        0.03125        0.65626
        0.50625        0.03125        0.65555
         0.5125        0.03125        0.65427
        0.51875        0.03125        0.65242
          0.525        0.03125           0.65
        0.53125        0.03125          0.647
         0.5375        0.03125        0.64343
        0.54375        0.03125        0.63929
           0.55        0.03125        0.63459
        0.55625        0.03125        0.62933
         0.5625        0.03125        0.62351
        0.56875        0.03125        0.61714
          0.575        0.03125        0.61024
        0.58125        0.03125        0.60281
         0.5875        0.03125        0.59487
        0.59375        0.03125        0.58641
            0.6        0.03125        0.57747
        0.60625        0.03125        0.56805
         0.6125        0.03125        0.55817
        0.61875        0.03125        0.54785
          0.625        0.03125         0.5371
        0.63125        0.03125        0.52595
         0.6375        0.03125        0.51441
        0.64375        0.03125        0.50251
           0.65        0.03125        0.49027
        0.65625        0.03125        0.47771
         0.6625        0.03125        0.46486
        0.66875        0.03125        0.45174
          0.675        0.03125        0.43839
        0.68125        0.03125        0.42481
